11,13,20,24,38
12,17,20,22,35
12,17,20,22,35
11,13,20,24,38
3,5,12,18,32
3,5,12,16,29
3,5,12,16,29
3,5,12,18,32
11,14,19,23,30
20,29,35,36,37
20,29,35,36,37
11,14,19,23,30
12,28,29,31,39
12,28,29,31,39
1,3,22,26,36
1,3,22,26,36
10,18,21,33,35
9,11,13,19,20
9,11,13,19,20
10,18,21,33,35
4,12,21,30,34
4,6,15,17,22
4,12,21,30,34
4,6,15,17,22
5,7,20,31,32
4,24,26,32,37
4,24,26,32,37
5,7,20,31,32
8,10,15,20,21
14,26,31,35,38
14,26,31,35,38
8,10,15,20,21
4,10,11,14,30
9,21,25,27,38
9,21,25,27,38
4,10,11,14,30
9,11,27,33,39
5,6,27,35,39
9,11,27,33,39
5,6,27,35,39
5,9,24,26,34
1,8,18,24,27
5,9,24,26,34
1,8,18,24,27
8,11,14,17,24
8,11,14,17,24
12,18,21,27,28
12,18,21,27,28
2,4,5,7,12
10,17,23,27,29
10,17,23,27,29
2,4,5,7,12
2,10,15,18,39
4,15,18,24,29
2,10,15,18,39
4,15,18,24,29
3,12,16,23,33
8,10,27,28,38
3,12,16,23,33
8,10,27,28,38
13,16,23,29,35
3,11,14,19,34
13,16,23,29,35
3,11,14,19,34
10,24,25,27,28
13,19,32,33,38
13,19,32,33,38
10,24,25,27,28
5,12,27,34,35
13,15,23,26,28
5,12,27,34,35
13,15,23,26,28
3,12,21,22,32
11,12,24,31,34
11,12,24,31,34
3,12,21,22,32
1,23,28,30,37
3,9,20,21,34
1,23,28,30,37
3,9,20,21,34
8,11,23,36,39
2,6,28,30,31
8,11,23,36,39
2,6,28,30,31
4,12,13,25,27
2,12,24,30,37
4,12,13,25,27
2,12,24,30,37
14,15,28,34,36
4,6,14,25,30
4,6,14,25,30
14,15,28,34,36
1,4,7,8,9
4,8,13,22,36
4,8,13,22,36
1,4,7,8,9
11,15,22,25,37
3,5,6,8,13
3,5,6,8,13
11,15,22,25,37
2,24,28,32,35
6,12,18,30,39
2,24,28,32,35
6,12,18,30,39
1,2,11,17,19
10,20,24,32,36
10,20,24,32,36
1,2,11,17,19
3,17,34,36,39
3,10,22,23,25
3,10,22,23,25
3,17,34,36,39
3,4,5,18,39
4,16,21,29,39
4,16,21,29,39
3,4,5,18,39
1,2,7,14,26
5,9,23,30,31
5,9,23,30,31
1,2,7,14,26
9,23,25,29,37
3,16,29,37,38
9,23,25,29,37
3,16,29,37,38
1,2,5,18,36
3,6,16,17,28
3,6,16,17,28
1,2,5,18,36
13,19,21,25,36
14,16,21,25,35
13,19,21,25,36
14,16,21,25,35
9,16,18,25,27
2,7,14,21,25
2,7,14,21,25
9,16,18,25,27
9,13,20,30,36
9,13,20,30,36
18,19,21,24,35
18,19,21,24,35
18,26,28,29,31
24,27,31,34,39
24,27,31,34,39
18,26,28,29,31
12,15,19,24,33
3,6,8,13,39
12,15,19,24,33
3,6,8,13,39
5,6,19,27,31
4,8,14,18,20
5,6,19,27,31
4,8,14,18,20
2,17,36,38,39
7,17,22,31,38
7,17,22,31,38
2,17,36,38,39
7,8,28,30,35
4,6,17,21,35
7,8,28,30,35
4,6,17,21,35
3,8,13,24,32
4,14,21,24,30
3,8,13,24,32
4,14,21,24,30
6,8,25,32,33
5,7,19,20,35
5,7,19,20,35
6,8,25,32,33
5,26,28,32,35
9,11,21,26,33
5,26,28,32,35
9,11,21,26,33
1,2,29,31,33
3,6,7,19,37
1,2,29,31,33
3,6,7,19,37
19,23,34,37,39
1,2,10,13,18
19,23,34,37,39
1,2,10,13,18
2,5,8,27,39
2,15,29,32,33
2,5,8,27,39
2,15,29,32,33
17,22,31,37,38
17,22,31,37,38
4,11,12,16,30
4,11,12,16,30
1,7,8,31,32
3,9,16,19,25
3,9,16,19,25
1,7,8,31,32
1,2,27,36,37
2,4,8,10,30
1,2,27,36,37
2,4,8,10,30
6,13,17,27,29
4,5,18,28,35
6,13,17,27,29
4,5,18,28,35
10,15,28,35,37
10,15,28,35,37
3,4,19,24,34
3,4,19,24,34
13,17,27,32,38
1,11,35,37,38
13,17,27,32,38
1,11,35,37,38
14,28,30,38,39
11,14,26,36,38
14,28,30,38,39
11,14,26,36,38
5,14,22,24,30
14,19,23,24,27
14,19,23,24,27
5,14,22,24,30
2,24,25,30,32
6,7,31,32,33
2,24,25,30,32
6,7,31,32,33
5,13,27,36,38
9,12,17,36,38
5,13,27,36,38
9,12,17,36,38
3,26,27,29,39
3,26,27,29,39
23,25,30,33,35
23,25,30,33,35
10,16,19,20,28
10,16,19,20,28
8,17,20,23,25
8,17,20,23,25
9,16,22,28,38
13,17,19,24,39
9,16,22,28,38
13,17,19,24,39
5,18,21,27,35
5,18,21,27,35
5,11,18,20,34
5,11,18,20,34
7,8,26,29,36
7,8,26,29,36
4,12,16,30,38
4,12,16,30,38
9,14,20,30,35
18,33,35,38,39
9,14,20,30,35
18,33,35,38,39
6,16,24,27,32
2,6,31,34,35
6,16,24,27,32
2,6,31,34,35
5,7,12,16,31
2,6,29,35,36
2,6,29,35,36
5,7,12,16,31
6,19,22,35,36
22,26,27,28,33
22,26,27,28,33
6,19,22,35,36
1,9,17,25,28
22,23,26,29,37
1,9,17,25,28
22,23,26,29,37
9,16,33,35,36
7,19,22,23,25
7,19,22,23,25
9,16,33,35,36
4,6,11,17,22
3,5,9,15,27
4,6,11,17,22
3,5,9,15,27
3,7,10,12,24
3,8,10,29,30
3,8,10,29,30
3,7,10,12,24
6,14,16,25,39
14,16,26,27,34
6,14,16,25,39
14,16,26,27,34
1,13,14,28,33
13,25,27,30,32
13,25,27,30,32
1,13,14,28,33
4,6,17,38,39
5,9,10,13,36
5,9,10,13,36
4,6,17,38,39
12,13,28,36,39
5,19,21,22,31
12,13,28,36,39
5,19,21,22,31
3,7,21,27,28
3,6,8,29,38
3,6,8,29,38
3,7,21,27,28
3,8,18,29,33
3,8,18,29,33
3,10,21,27,31
3,10,21,27,31
2,7,9,10,35
2,7,9,10,35
7,8,9,14,32
7,8,9,14,32
6,27,32,34,37
6,27,32,34,37
7,22,29,30,39
7,22,29,30,39
1,8,18,23,34
3,17,21,24,25
1,8,18,23,34
3,17,21,24,25
10,15,19,25,39
1,3,19,31,37
10,15,19,25,39
1,3,19,31,37
8,15,28,38,39
7,10,12,20,26
8,15,28,38,39
7,10,12,20,26
4,15,16,33,34
1,7,13,24,31
4,15,16,33,34
1,7,13,24,31
3,6,27,33,35
6,9,12,27,37
3,6,27,33,35
6,9,12,27,37
4,8,18,19,39
1,27,28,30,32
4,8,18,19,39
1,27,28,30,32
5,6,10,15,24
3,10,16,17,27
3,10,16,17,27
5,6,10,15,24
1,8,18,32,37
1,8,18,32,37
3,13,24,26,29
3,13,24,26,29
11,14,22,23,24
5,14,30,34,38
11,14,22,23,24
5,14,30,34,38
3,10,12,19,26
2,14,17,30,34
2,14,17,30,34
3,10,12,19,26
5,15,24,28,39
13,14,16,19,21
5,15,24,28,39
13,14,16,19,21
3,13,21,26,37
3,13,21,26,37
10,12,22,26,37
10,12,22,26,37
3,19,21,32,33
3,19,21,32,33
2,30,35,36,37
2,30,35,36,37
1,18,22,33,38
5,18,34,35,36
1,18,22,33,38
5,18,34,35,36
3,5,17,21,34
6,7,13,24,36
6,7,13,24,36
3,5,17,21,34
9,16,17,19,29
4,11,15,20,21
4,11,15,20,21
9,16,17,19,29
1,7,21,29,30
6,23,24,28,34
1,7,21,29,30
6,23,24,28,34
8,13,24,30,34
6,10,21,23,31
6,10,21,23,31
8,13,24,30,34
5,7,14,17,20
10,11,13,19,28
5,7,14,17,20
10,11,13,19,28
9,17,21,35,39
2,19,22,33,38
2,19,22,33,38
9,17,21,35,39
1,4,29,31,38
7,13,23,25,39
1,4,29,31,38
7,13,23,25,39
18,21,23,27,34
5,9,16,36,37
18,21,23,27,34
5,9,16,36,37
7,10,11,12,21
2,20,24,25,34
2,20,24,25,34
7,10,11,12,21
8,9,13,21,24
2,5,13,19,39
2,5,13,19,39
8,9,13,21,24
14,20,21,26,30
4,5,10,19,28
14,20,21,26,30
4,5,10,19,28
16,19,25,26,27
3,6,10,24,33
3,6,10,24,33
16,19,25,26,27
1,22,23,26,29
4,11,18,30,34
1,22,23,26,29
4,11,18,30,34
11,12,15,33,35
1,5,16,28,30
1,5,16,28,30
11,12,15,33,35
1,2,11,16,31
1,2,11,16,31
2,10,17,27,38
2,10,17,27,38
1,3,6,33,36
12,17,18,20,21
1,3,6,33,36
12,17,18,20,21
4,17,26,30,33
1,6,14,15,39
4,17,26,30,33
1,6,14,15,39
5,12,15,19,34
10,15,19,26,32
10,15,19,26,32
5,12,15,19,34
6,20,22,24,33
2,20,31,34,36
6,20,22,24,33
2,20,31,34,36
9,10,14,17,28
2,3,5,20,38
2,3,5,20,38
9,10,14,17,28
14,21,25,32,36
1,25,31,33,34
1,25,31,33,34
14,21,25,32,36
10,18,28,36,38
8,13,27,35,37
10,18,28,36,38
8,13,27,35,37
3,11,24,27,30
7,13,15,17,31
7,13,15,17,31
3,11,24,27,30
11,20,23,28,31
10,11,16,20,28
11,20,23,28,31
10,11,16,20,28
11,13,25,27,36
1,2,16,31,39
11,13,25,27,36
1,2,16,31,39
2,8,11,21,26
2,8,11,21,26
2,13,16,21,30
2,13,16,21,30
11,16,23,24,32
13,22,26,31,36
11,16,23,24,32
13,22,26,31,36
8,14,18,25,39
12,16,25,35,38
8,14,18,25,39
12,16,25,35,38
11,12,18,19,34
